gap_mm,R_ohm,X_ohm,L_H
0,2.56993,4.93363,7.85211e-005
0.5,2.22667,5.76824,9.18043e-005
1,2.01475,6.35199,0.000101095
1.5,1.87002,6.77198,0.000107779
2,1.77053,7.08053,0.00011269
2.5,1.70101,7.30922,0.00011633
3,1.65124,7.48226,0.000119084
3.5,1.61475,7.61396,0.00012118
4,1.58716,7.72086,0.000122881
4.5,1.56661,7.79627,0.000124082
5,1.55101,7.86467,0.00012517
5.5,1.53907,7.90936,0.000125881
6,1.52955,7.94443,0.000126439
6.5,1.52234,7.98821,0.000127136
7,1.51653,8.01896,0.000127626
7.5,1.51198,8.02992,0.0001278
8,1.50825,8.05405,0.000128184
8.5,1.50529,8.06654,0.000128383
9,1.50284,8.08188,0.000128627
9.5,1.50089,8.09403,0.000128821
10,1.49927,8.10807,0.000129044
